context1	context2	label
<word>Өркен</word> - өсімдіктің негізгі бөлігі . Сабақтан және онда дамитын жапырақ пен бүршік тен тұрады . Сонымен бірге « көбею , кең қанат жаю » деген мағына ны білдіреді . Қазақта « өркенің өссін », « өркенің жайылсын » деген бата , тілек сөздер бар .	While many of these plants are hyperaccumulators , other plant species can be used as the contaminants do not always reach the  <word>shoots</word> ( stems and their appendages : leaves , lateral buds , flowering stems and flower buds ) .	T
Осы зиянкестердің санын бірден - бір негізгі реттеуші болып табылады . Түр Еуропа , Сібір , Орта Азия , Қазақстан да кең таралған , бірақ оның жекелеген  <word>популяция</word> лары жоғалып кету қаупінде тұр . Негізінен егішілікпен айналысатын аудандарда тіршілік етеді , бақ тарда және егістіктерде , сонымен қатар , таулы жеміс ті ормандарда ағаштарда да , шөптесін өсімдік терде де кездеседі . Қазіргі уақытта еліміздің оңтүстік аудандарындағы бақ тар мен егістіктерді химиялық өңдеулер жүргізуіне байланысты , таралу аймағының жекелеген бөліктерінде жоғалып кету қаупін тудырып отыр .	Ecological forecasting uses knowledge of physics , ecology and physiology to predict how ecological  <word>populations</word> , communities , or ecosystem s will change in the future in response to environmental factors such as climate change .	T
Олар : « Вокал студиясы », « Ағылшын тілінде драма театр », « Телестудия », « Журналистика », « Өзін - өзі тану » клубтары , баскетбол , волейбол секциялары , теннис , тоғызқұмалақ ,  <word>шахмат</word> үйірмелері , таңдау курстары мен факультатив тер .	In the human guise of Jiro , Garulu sees the world as a place of utter corruption and usually prefers to be within Castle Doran as its lead caretaker , occasionally playing Dogga in  <word>Chess</word> or cards and beating him .	T
Хайльбронн () — Германия ауданы . Аудан орталығы — Хайльбронн қаласы . Аудан  <word>Баден-Вюртемберг</word> жерінде орналасқан . Штутгарт әкімшілік округіне бағынады . Жер аумағы 1 . 099 , 95 км² шамасында . Тұрғыны 330 021 адамды құрайды . Халық тығыздығы 300 адам / км² .	The Hans Filbinger Foundation ( ) is a German Christian Democratic foundation that was founded in 1993 by around 100 members of Studienzentrum Weikersheim , including Gerhard Mayer-Vorfelder ( at the time Baden-Württemberg 's Minister of Finance ) and leading journalist Gerhard Löwenthal . It is named after CDU politician Hans Filbinger , the long-time Minister President of  <word>Baden-Württemberg</word> . Since 2005 , the foundation awards the Hans Filbinger Prize ( ) .	T
Теңіз ірбісі , теңіз қабыланы () – нағыз итбалықтар тұқымдасына жататын  <word>ескекаяқты</word> сүтқоректі . Басқа итбалықтарға қарағанда Антарктида жиі кездеседі . Оның денесіндегі май қабаты сол жерді мекендейтін басқа итбалықтарға қарағанда жұқа болады .	Strumble Head , which is on the Pembrokeshire Coast Path , comprises part of the Strumble Head - Llechdafad Cliffs Site of Special Scientific Interest and is one of the best sites in Britain to view cetaceans , particularly the porpoise which can be spotted in the tidal races around the headland with modest binoculars . Public cetacean watches are frequently organized by the Goodwick -based local marine wildlife conservationist `` Sea Trust '' .  <word>Seals</word> can often be spotted . A wartime lookout post was converted as a shelter for wildlife fans and was opened by Bill Oddie in 1988 .	T
және нилот ( алур , ашали , эльгуми ) тайпалары енетін Баганда мемлекеті болды . Оған Виктория көлі мен Рудольф көлі аралығы , батысында Кинни , шығысында Унсораға дейінгі жерлер қарады .  <word>Виктория</word> к - нде үлкен флот ұстады . Халқының негізгі кәсібі — егіншілік ( мақта , маниок , батат , банан ) болды , мал шарыашылығымен және балық аулаумен де шұғылданған .	The Lake Victoria squeaker ( `` Synodontis victoriae '' ) is a species of upside-down catfish that is native to Kenya , Burundi , Tanzania and Uganda where it is found in Lakes Kioga and  <word>Victoria</word> and the Victorian Nile the lower Kagera River and the Malagarasi River drainage .	T
Ганга акулалары ұрпақтарын тірідей туады . Буаздық мерзімі 10 - 11 айды құрайды . Аналық  <word>акула</word> 55 - 60 см болатын 13 шақты акуланы өмірге алып келеді . Олардың жотасындағы артқы жүзбе қанаты алдыңғысына қарағанда кішірек болып келеді . Оның тұмсығы - доғал , ал көздері кішкентай .	Shark culling ( the killing of  <word>shark</word> s ) currently occurs in New South Wales and Queensland ( in government `` shark control '' programs ) . These programs have damaged the marine ecosystem . Roughly 50,000 sharks have been killed by Queensland authorities since 1962 , including in the Great Barrier Reef .	T
Бұл дәуір бөлгіш туынды асығыста жазылса да , кітапта кіріссөзінде жоспарланған міндет толық орындалмаса да , бірақ бұл туынды ХХ ғасыр мәдениетіне , әсіресе  <word>экзистенциализм</word> , герменевтика , деконструкциялау ағымдарына терең ықпал етті .	Consequently , his work harbors social , political and  <word>existential</word> themes such as conflict between social classes and between different generation groups ; the moral decay and the decadence of certain social groups .	T
Сәулеленудің корпускулалық касиеттері оның энергиясы , импульсі және массасы үзікті бөлшек тер — фотондарда жинақталуымен байланыс ты болса , толқындық қасиеттері осы фотондардың кеңістікте орналасуының статистикалық заңдылықтарымен байланысты . Тәжірибелер толқындық  <word>қасиет</word> тек фотондардың ағынына ғана емес , жеке фотонға да тән екенін көрсетті . Фотон дифракциялық тордан	Zombie arguments often support lines of reasoning that aim to show that zombies are metaphysically possible in order to support some form of dualism – in this case the view that the world includes two kinds of substance ( or perhaps two kinds of  <word>property</word> ) ; the mental and the physical .	T
Оның сәулелендіретін сигнал дары нысанадан қайтарылып , қабылдағышқа түседі . Есептегіш - шешуші қондырғының көмегімен өздігінен бағытталудың белсенді оқтұмсығы пәрмендер дайындап , оны ракета ның (  <word>бомба</word> ның , торпеда ның ) ұшу траектория ларын басқаратын тиісті атқару құралдарына ( руль ге ) жібереді . Таратқыш сәулелендіретін энергия түріне қарай өздігінен бағытталудың белсенді оқтұмсығы радиолокация лық , гидроакустика лық , жылулық т . б болып бөлінеді .	In 1997 , the place stayed the same but the party date moved from winter to summer ( being held on 18–20 July ) . Imphobia was joined by  <word>Bomb</word> , Pulpe , Smash Designs and `` W.O.W . '' in its organizing efforts .	T
Ұрыс кезінде қару ды ойнату , жарақаттау , қорғану тәсілдерін қамтиды . Қылыш тасудың сермеу , толғау , үйіру сияқты ойнату тәсілдері ,  <word>кесу</word> , шабу , түйреу сияқты жарақаттау тәсілдері , қарсыласының қаруын қағу , қармау , ілу , қайыру , жұлу сияқты қорғану тәсілдері бар . Қоян - қолтық айқастарда жеңіске жету үшін бұл тәсілдерді жауынгерлер жетік меңгеруге міндетті болды .	Propagation is by seed , although these are hard to obtain . Seeds do not require any treatment before sowing , and take around 23 days to germinate .  <word>Cutting</word> s yield unpredictable results . The plant itself prefers a deep , sandy , well-drained soil with a pH of 6.0–7.0 .	T
III Георгтің ұзаққа созылған ( 60 жылға жуық , билеу ұзақтығы бойынша  <word>Виктория</word> және II Елизавета патшайымдардан кейін үшінші орында ) билеуінің тұсында бірнеше революциялық оқиғалар болды . Атап айтқанда , америкалық колониялардың Британиядан бөлінуі және АҚШ - тың құрылуы , Ұлы француз революциясы және Наполеондық соғыстар мен аяқталған ағылшын - француз саяси және қарулы қақтығысы .	Archbishops of Canterbury from Augustine of Canterbury and Lanfranc , to Thomas Cranmer and William Laud are represented . Kings and Queens from Æthelberht and Bertha of Kent , to  <word>Victoria</word> and Elizabeth II are included .	T
Глокализация — глобализация ( жаһандану ) мен локализация ( жергіліктену ) терминдерінен құралған құйылысқан сөз және  <word>неологизм</word> . Бұндағы сөз құраушы қос терминді қарама - қайшы ұғым ретінде емес , бірін - бірі толықтыратын үдеріс ретінде түсіну қажет .	Like most Indo-European languages , including English , Portuguese classifies most of its lexicon into four word classes : verb s , noun s , adjective s , and adverb s. These are `` open '' classes , in the sense that they readily accept new members , by  <word>coinage</word> , borrowing , or compounding .	T
Дезарг теоремасы - егер екі үшбұрыш тың ( formula_1 және formula_2 ) сәйкес кабырғалары ( немесе бұлардың созындылары ) бір  <word>түзу</word> дің бойында жататын formula_3 және formula_4 нүктелерінде қиылысатын болса , онда үшбұрыштың сәйкес төбе лерін ( formula_5 …) өзара қосатын түзулер бір нүктеде ( formula_6 нүктесінде ) қиылысады ( түйіседі ).	The Hesse normal form named after Otto Hesse , is an equation used in analytic geometry , and describes a  <word>line</word> in formula_1 or a plane in Euclidean space formula_2 or a hyperplane in higher dimensions .	T
Андромеда галактикасында 460 шар пішінді үйіржұлдыз дар бар , олардың массасы ең үлкені Мэйолл II деп аталады , оның лақабы G1 （ Gloup one ）, ол үйіржұлдыздар арасындағы жарқырауы ең күшті жұлдыздық жүйе есептеледі . Ол миллиондаған тұрақты жұлдыздарды қамтыған , жарық шамасы Құс жолы ндағы ең жарық  <word>үйіржұлдыз</word> Кента ́ вр ω - ге қарағанда екі есе жарық есептеледі . G1 бірнеше ұқсамайтын жұлдыз әулетінен құралады және қарапайым үйіржұлдыз ға салыстырғанда құрылымы алып есептеледі .	Further out the galaxy displays strikingly rich dust clouds along its spiral arms . Hot young blue stars show up in giant  <word>clusters</word> far from the centre and the arms are also littered with bright red giant stars . Two supernova e have been observed in NGC 3810 , SN 1997dq ( type Ib , mag : 15 ) , and SN 2000ew ( type Ic , mag : 14.9 ) .	T
« Құрмет белгісі » ( 1981 ), II дәрежелі «  <word>Достық</word> » ( 2005 ), III дәрежелі « Қосқан үлесі үшін » ( Украина , 2001 ) ордендерімен ; « Ерен еңбегі үшін » ( 1977 ), « Тың жерлерді игеруге қосқан үлесі үшін » ( 1984 ), « Қазақстан Республикасының тәуелсіздігіне 10 жыл » ( 2001 ), « Астананың 10 жылдығы » ( 2007 ), « Украинаның фашистік басқыншылардан азат етілгеніне 60 жыл » ( Украина , 2004 ) медальдарымен марапатталған .	The big bugs are a five puppet Insect s who broadcast in a TV station that they build . At The episodes of the show they talk and learn about color s , Imagination ,  <word>friendship</word> , responsibility etc . and also they sing songs .	T
Шаянжегіш жанат (" P . cancrivorus ")  <word>Оңтүстік</word> және Орталық Америка да ; шайқағыш жанат Орталық және Солтүстік Америка да таралған . Аралас ормандарды мекендейді . Жылына бір рет түлейді . 2 - 8 дейін күшіктері болады . Ін қазып , тіршілік етеді .	The airport serves as the homebase for Copa Airlines and is a regional hub to and from The Caribbean ,  <word>South</word> , North and Central America and additionally features routes to some Europe an and Asia n cities .	T
Қазақстан суларының балықтарын іргелі зерттеу 18 ғасырда Палластың еңбектерінен басталады . Ол 1768 – 73 жылы Санкт - Петербургтен Байкал бойына жасаған саяхаты кезінде Каспий теңізі мен Еділ ,  <word>Жайық</word> , Ертіс өзендерінің ихтиофаунасын зерттеді . Арал теңізінің балықтары туралы алғашқы деректерді Г . Мейендорф берді ( 1820 ).	The Yamnaya culture , also known as the Yamnaya Horizon , Yamna culture , Pit Grave culture or Ochre Grave culture , was a late Copper Age to early Bronze Age archaeological culture of the region between the Southern Bug , Dniester , and  <word>Ural</word> rivers ( the Pontic steppe ) , dating to 3300–2600 BC .	T
Кеңейтілген жад ( расширенная память ; extended memory ) — бір мега  <word>байт</word> тық шекарадан жоғары орналасқан және тек қорғанылған режімде ғана адрестелетін жедел жад аймағы . Кейбір қолданбалы программалар ( мысалы , windows жүйесінің программалары болып саналмайтын программалар ) пайдаланатын жадқа қосымша жад .	The deck 's control functions are spread between three identical Philips MAB8440 microcontroller s , clocked with a common crystal . Each microcontroller carries of program memory and 128  <word>Byte</word> s of random-access memory . The first microcontroller polls faceplate keyboard , infrared remote control port , and an optically decoupled RS-232 port ; the second one controls the motors and calculates real-time tape counter values .	T
Өнімді қабаты көлбеу белді тау жыныстары нан тұратын ірі баспалдақты блоктар түрінде тараған .  <word>Бор</word> және кайнозой дың құмтасты - сазды тау жыныстарының қалыңдығы 30 - 120 м . Көмір жиналған негізгі қабаты құсмұрын шоғырында ( төменгі юра ), қалыңдығы 118 м болатын 17 өнім қатарынан тұрады .	The Gault Formation is a geological formation of stiff blue clay deposited in a calm , fairly deep-water marine environment during the Lower  <word>Cretaceous</word> Period ( Upper and Middle Albian ) . It is well exposed in the coastal cliffs at Copt Point in Folkestone , Kent , England , where it overlays the Lower Greensand formation , and underlies the Upper Greensand Formation .	T
Қосасар – Қармақшы ауданы ндағы жер . Тұрмағамбет ауылынан 4 км жерде , Қурайлы және  <word>Мәдениет</word> каналдары аралығында орналасқан . Екі белестен ( асардан ) тұрады . Белестердің орта тұсында өзімен аттас артезиан құдығы орналасқан . Батысында Жосалы даласы жатыр .	In the field of comparative media system research , homogenization is defined as the convergence of many media systems towards one specific model , caused by changes in political and economic structures , commercialization , and changes in technology .  <word>Cultural</word> differences between the countries are said to become less important , since a few international conglomerates dominate the global media industry .	T
Қазақ жерінде Ертіс ағынын Қатын , Қалба , Нарын ,  <word>Тарбағатай</word> және Сауыр жоталарынан , Құлынды даласынан жинайды . Көп жерінде тау сілемдерін тіле терең шатқал дар қалыптасқан . Бұл тұста жағаларының биіктігі 500 м - ге жетеді .	The biosphere reserve includes the Alakol - Sasykkol lake system and is situated at the limits of the Alakol depression , delimited by  <word>Tarbagatai</word> ridge in the north , Dzhungarian Alatau in the south , and Barlyk ridge in the east and south-east .	T
Бұл институт Еуропалық Одақпен ешқандай органикалық байланысы жоқ жеке халықаралық ұйым . Алайда , Еуропалық Одақтың Еуропа Кеңесінің туын қолдануына қосымша , Еуропа Кеңесі мен  <word>ЕО</word> арасында тығыз ынтымақтастық бар . Көптеген елдерде Еуропалық Одақ пен Еуропа Кеңесінің бірлескен жобалары жүзеге асырылады .	It analyzes the General Agreement on Tariffs and Trade ( GATT ) , North American Free Trade Agreement ( NAFTA ) , the Canada-United States Free Trade Agreement , and the treaties that created the European Community and  <word>Union</word> , and looks at cases including the GATT tuna-dolphin dispute , the EC 's beef hormone ban , the Danish bottle case .	T
Ол ең кішкене объектілердің , ұшақтардын , ракеталардың ұшып - шығу позицияларын , су бетіндегі кемелерді суретке түсіре алатын арнаулы фотоаппараттармен жабдықталады . Мысалы , 300 километр биіктікке шыгарылған Жердің жасанды серігі 2000 километр  <word>радиус</word> та жердің бетін толық барлай алады . Бұл барланған жер аймағының ауданы 12 миллион шаршы километрден артық .	OGLE-TR-123 is a binary stellar system containing one of the smallest main-sequence star s whose  <word>radius</word> has been measured . It was discovered when the Optical Gravitational Lensing Experiment ( OGLE ) survey observed the smaller star eclipsing the larger primary .	T
