context1,y
өркен  өсімдіктің негізгі бөлігі  сабақтан және онда дамитын жапырақ пен бүршік тен тұрады  сонымен бірге  көбею  кең қанат жаю  деген мағына ны білдіреді  қазақта  өркенің өссін   өркенің жайылсын  деген бата  тілек сөздер бар ,1
осы зиянкестердің санын бірден  бір негізгі реттеуші болып табылады  түр еуропа  сібір  орта азия  қазақстан да кең таралған  бірақ оның жекелеген  популяция лары жоғалып кету қаупінде тұр  негізінен егішілікпен айналысатын аудандарда тіршілік етеді  бақ тарда және егістіктерде  сонымен қатар  таулы жеміс ті ормандарда ағаштарда да  шөптесін өсімдік терде де кездеседі  қазіргі уақытта еліміздің оңтүстік аудандарындағы бақ тар мен егістіктерді химиялық өңдеулер жүргізуіне байланысты  таралу аймағының жекелеген бөліктерінде жоғалып кету қаупін тудырып отыр ,1
олар   вокал студиясы   ағылшын тілінде драма театр   телестудия   журналистика   өзін  өзі тану  клубтары  баскетбол  волейбол секциялары  теннис  тоғызқұмалақ   шахмат үйірмелері  таңдау курстары мен факультатив тер ,1
хайльбронн   германия ауданы  аудан орталығы  хайльбронн қаласы  аудан  баденвюртемберг жерінде орналасқан  штутгарт әкімшілік округіне бағынады  жер аумағы      км шамасында  тұрғыны   адамды құрайды  халық тығыздығы  адам  км ,1
теңіз ірбісі  теңіз қабыланы   нағыз итбалықтар тұқымдасына жататын  ескекаяқты сүтқоректі  басқа итбалықтарға қарағанда антарктида жиі кездеседі  оның денесіндегі май қабаты сол жерді мекендейтін басқа итбалықтарға қарағанда жұқа болады ,1
және нилот  алур  ашали  эльгуми  тайпалары енетін баганда мемлекеті болды  оған виктория көлі мен рудольф көлі аралығы  батысында кинни  шығысында унсораға дейінгі жерлер қарады   виктория к  нде үлкен флот ұстады  халқының негізгі кәсібі  егіншілік  мақта  маниок  батат  банан  болды  мал шарыашылығымен және балық аулаумен де шұғылданған ,1
ганга акулалары ұрпақтарын тірідей туады  буаздық мерзімі    айды құрайды  аналық  акула    см болатын  шақты акуланы өмірге алып келеді  олардың жотасындағы артқы жүзбе қанаты алдыңғысына қарағанда кішірек болып келеді  оның тұмсығы  доғал  ал көздері кішкентай ,1
бұл дәуір бөлгіш туынды асығыста жазылса да  кітапта кіріссөзінде жоспарланған міндет толық орындалмаса да  бірақ бұл туынды хх ғасыр мәдениетіне  әсіресе  экзистенциализм  герменевтика  деконструкциялау ағымдарына терең ықпал етті ,1
сәулеленудің корпускулалық касиеттері оның энергиясы  импульсі және массасы үзікті бөлшек тер  фотондарда жинақталуымен байланыс ты болса  толқындық қасиеттері осы фотондардың кеңістікте орналасуының статистикалық заңдылықтарымен байланысты  тәжірибелер толқындық  қасиет тек фотондардың ағынына ғана емес  жеке фотонға да тән екенін көрсетті  фотон дифракциялық тордан,1
оның сәулелендіретін сигнал дары нысанадан қайтарылып  қабылдағышқа түседі  есептегіш  шешуші қондырғының көмегімен өздігінен бағытталудың белсенді оқтұмсығы пәрмендер дайындап  оны ракета ның   бомба ның  торпеда ның  ұшу траектория ларын басқаратын тиісті атқару құралдарына  руль ге  жібереді  таратқыш сәулелендіретін энергия түріне қарай өздігінен бағытталудың белсенді оқтұмсығы радиолокация лық  гидроакустика лық  жылулық т  б болып бөлінеді ,1
ұрыс кезінде қару ды ойнату  жарақаттау  қорғану тәсілдерін қамтиды  қылыш тасудың сермеу  толғау  үйіру сияқты ойнату тәсілдері   кесу  шабу  түйреу сияқты жарақаттау тәсілдері  қарсыласының қаруын қағу  қармау  ілу  қайыру  жұлу сияқты қорғану тәсілдері бар  қоян  қолтық айқастарда жеңіске жету үшін бұл тәсілдерді жауынгерлер жетік меңгеруге міндетті болды ,1
iii георгтің ұзаққа созылған   жылға жуық  билеу ұзақтығы бойынша  виктория және ii елизавета патшайымдардан кейін үшінші орында  билеуінің тұсында бірнеше революциялық оқиғалар болды  атап айтқанда  америкалық колониялардың британиядан бөлінуі және ақш  тың құрылуы  ұлы француз революциясы және наполеондық соғыстар мен аяқталған ағылшын  француз саяси және қарулы қақтығысы ,1
глокализация  глобализация  жаһандану  мен локализация  жергіліктену  терминдерінен құралған құйылысқан сөз және  неологизм  бұндағы сөз құраушы қос терминді қарама  қайшы ұғым ретінде емес  бірін  бірі толықтыратын үдеріс ретінде түсіну қажет ,1
дезарг теоремасы  егер екі үшбұрыш тың  formula және formula  сәйкес кабырғалары  немесе бұлардың созындылары  бір  түзу дің бойында жататын formula және formula нүктелерінде қиылысатын болса  онда үшбұрыштың сәйкес төбе лерін  formula  өзара қосатын түзулер бір нүктеде  formula нүктесінде  қиылысады  түйіседі ,1
андромеда галактикасында  шар пішінді үйіржұлдыз дар бар  олардың массасы ең үлкені мэйолл ii деп аталады  оның лақабы g  gloup one  ол үйіржұлдыздар арасындағы жарқырауы ең күшті жұлдыздық жүйе есептеледі  ол миллиондаған тұрақты жұлдыздарды қамтыған  жарық шамасы құс жолы ндағы ең жарық  үйіржұлдыз кента  вр ω  ге қарағанда екі есе жарық есептеледі  g бірнеше ұқсамайтын жұлдыз әулетінен құралады және қарапайым үйіржұлдыз ға салыстырғанда құрылымы алып есептеледі ,1
 құрмет белгісі     ii дәрежелі   достық     iii дәрежелі  қосқан үлесі үшін   украина    ордендерімен   ерен еңбегі үшін      тың жерлерді игеруге қосқан үлесі үшін      қазақстан республикасының тәуелсіздігіне  жыл      астананың  жылдығы      украинаның фашистік басқыншылардан азат етілгеніне  жыл   украина    медальдарымен марапатталған ,1
